DOC # (INDEX),APPLICATION,COUNTRY/ORG,INSTITUTION,DATE ,DOCUMENT,
03_29a,Single Jurisdiction,US,US FFIEC,Apr-16,US FFIEC IT Examination Handbook: Retail Payment Systems Booklet ,
01_38a,Multi-Jurisdictions,IOSCO,IOSCO,Apr-16,Report on IOSCO’s Cyber Risk Coordination Efforts,
02_37a,Single Jurisdiction,Australia,Australia,Apr-16,Australia’s Cyber Security Strategy,
01_39a,European Union ,EU,EC,Apr-16,EU General Data Protection Regulation,
02_38a,Single Jurisdiction,Australia,ASIC,Mar-16,ASIC - Cyber resilience assessment report: ASX Group and Chi-X Australia Pty Ltd,
03_30a,Single Jurisdiction,US,US DHS,Feb-16,US DHS Cyber Resilience Review (CRR) Method Description and Self-Assessment User Guide,
03_30b,Single Jurisdiction,US,US DHS,Feb-16,US DHS Cyber Resilience Review (CRR) Assessment Package,
01_40a,Multi-Jurisdictions,ISO/IEC,ISO/IEC,Feb-16,"ISO/IEC - IT, Security Techniques, InfoSec Management Systems",
01_41a,European Union ,EU,EC,Jan-16,EU Payment Services Directive 2,
02_39a,Single Jurisdiction,South Africa,South Africa,Dec-15,South Africa National Cybersecurity Policy Framework,
03_31a,Single Jurisdiction,US,US FFIEC,Nov-15,US FFIEC IT Examination Handbook: Management Booklet ,
02_40a,Single Jurisdiction,France,France,Oct-15,France National Digital Security Strategy,
01_42a,Single Jurisdiction,Singapore,MAS,Oct-15,MAS Circular - Tech Risk and Cybersec Training for Board,
02_41a,Single Jurisdiction,Hong Kong,HKMA,Sep-15,"HKMA Supervisory Policy Manual, Risk Management of E-banking",
02_42a,Single Jurisdiction,Japan,Japan,Sep-15,Japan’s National Center of Incident Readiness and Strategy for Cybersecurity,
03_32a,Single Jurisdiction,US,US NFA,Aug-15,"US NFA Compliance Rules 2-9, 2-36 and 2-49: Information Systems Security Programs ",
01_43a,Single Jurisdiction,Singapore,MAS,Aug-15,MAS Circular on Early Detection of Cyber Intrusions,
02_43a,Single Jurisdiction,India,SEBI,Jul-15,"SEBI Cyber Security and Cyber Resilience framework of Stock Exchanges, Clearing Corporation and Depositories",
02_44a,Single Jurisdiction,Japan,FSA,Jul-15,JFSA Policy Approaches to Strengthen Cyber Security in the Financial Sector,
02_45a,Single Jurisdiction,Australia,APRA,Jul-15,APRA Information Paper: Outsourcing involving Shared Computing Services (including Cloud),
01_44a,Single Jurisdiction,UK,FCA & PRA,Jul-15,UK FCA/PRA Senior Managers and Certification Regime,
02_46a,Single Jurisdiction,Hong Kong,SFC,Jun-15,SFC Circular to all Licensed Corporations on Internet Trading,
02_47a,Single Jurisdiction,US,SEC,Apr-15,SEC Investment Management Guidance Update on Cybersecurity Guidance,
01_45a,Single Jurisdiction,Israel,Bank of Israel,Mar-15,Central Bank of Israel Directive on Cyber-Defense Management,
01_46a,Single Jurisdiction,Australia,ASIC,Mar-15,ASIC’s Report on Cyber Resilience,
03_33a,Single Jurisdiction,US,US FFIEC,Feb-15,US FFIEC IT Examination Handbook: Business Continuity Planning Booklet ,
03_34a,Single Jurisdiction,US,US FINRA,Feb-15,US FINRA Report on Cybersecurity Practices ,
03_35a,Single Jurisdiction,US,US CSBS,Dec-14,US CSBS Cybersecurity 101: A Resource Guide for Bank Executives ,
01_47a,European Union ,EU,EBA,Dec-14,EBA Guidelines on Security of Internet Payments,
02_48a,Single Jurisdiction,Japan,Japan,Nov-14,Japan’s Basic Act on Cybersecurity,
03_36a,Single Jurisdiction,Russia,CBR,Jun-14,CBR Central Bank of Russia Standard for Maintenance of Information Security of the Russian Banking System Organisations - General Provisions,
03_36b,Single Jurisdiction,Russia,CBR,Jun-14,CBR Central Bank of Russia Standard for Maintenance of Information Security of the Russian Banking System Organisations -  Assessment Method,
02_49a,Single Jurisdiction,Italy,CODISE,May-14,CODISE publishes new Guide,
02_50a,Single Jurisdiction,Russia,CBR,Apr-14,CBR Russian banking system standard on information security maintenance,
01_48a,Single Jurisdiction,Singapore,MAS,Mar-14,MAS Notice on Technology Risk Management,
02_51a,Single Jurisdiction,Spain,Spain,Dec-13,Spain National Cyber Security Strategy,
02_52a,Single Jurisdiction,Netherlands,Netherlands,Oct-13,Netherlands National Cyber Security Strategy,
02_53a,Single Jurisdiction,Canada,OSFI,Oct-13,OSFI Cyber Security Self-Assessment Guidance,
02_54a,Single Jurisdiction,Australia,ASIC,Sep-13,ASIC REGULATORY GUIDE 172: Australian market licences: Australian operators,
02_55a,Single Jurisdiction,France,ACPR,Jul-13,ACPR guidance: risks associated with cloud computing,
02_56a,Single Jurisdiction,Singapore,MAS,Jun-13,MAS Technology Risk Management Guideline,
02_57a,Single Jurisdiction,Australia,APRA,May-13,APRA Prudential Practice Guide CPG 234 – Management of Security Risk in Information and Information Technology,
04_28a,Multi-Jurisdictions,PCI,PCI,Feb-13,PCI Data Security Standard Cloud Computing Guidelines ,
04_29a,Single Jurisdiction,US,NIST,Aug-12,NIST Computer Security Incident Handling Guide SP 800-61 r.2,
02_58a,Single Jurisdiction,China,China,Jul-12,PBOC Implementation guide for classified protection of information system of financial industry,
04_30a,Single Jurisdiction,Russia,CBR,Jun-12,CBR Regulation No. 382-P – Fund transfers information protection ,
04_31a,Multi-Jurisdictions,COBIT,COBIT,Apr-12,Cobit 5 excerpt - introduction,
04_31b,Multi-Jurisdictions,COBIT,COBIT,Apr-12,Intro to Cobit 5 presentation,
03_37a,Single Jurisdiction,US,FFIEC,Apr-12,US FFIEC IT Examination Handbook: Audit Booklet ,
04_32a,Single Jurisdiction,US,NIST,Sep-11,NIST definition of Cloud Computing SP 800-145,
04_33a,Single Jurisdiction,US,NIST,Sep-11,NIST Cloud Computing Reference Architecture,
04_34a,Multi-Jurisdictions,Chatham House,Chatham House,Sep-11,Chatham House - Cyber Security and the UK’s Critical National Infrastructure,
01_49a,Multi-Jurisdictions,WBG,WBG,Sep-11,World Bank - General Principles for Credit Reporting,
01_50a,Multi-Jurisdictions,BIS,BCBS,Jun-11,BCBS Principles for the Sound Management of Operational Risk,
01_51a,Single Jurisdiction,US,FFIEC,Jun-11,"FFIEC - Authentication in Internet Banking Environment, suppl.",
01_52a,Multi-Jurisdictions,AICPA,AICPA,Apr-10,AICPA suite of SOC & Implementation Guidance,
02_59a,Single Jurisdiction,China,CBRC,Jul-05,CBRC Guidelines on the Risk Management of Commercial Banks’ Information Technology,
01_53a,European Union ,EU,ENISA,Dec-09,ENISA National Exercises Good Practice Guide,
01_54a,European Union ,EU,ENISA,Dec-09,ENISA Good Practice Guide on Incident Reporting,
02_60a,Single Jurisdiction,Germany,Germany ,Aug-09,German Federal Office for Information Security Act,
04_35a,Multi-Jurisdictions,COBIT,COBIT,May-07,Cobit 4.1 excerpt - executive summary,
03_38a,Single Jurisdiction,Russia,CBR,May-07,CBR Central Bank of Russia Standard for Information Security of Russian Banking Institutions Information Security Audit ,
01_55a,Single Jurisdiction,Korea,Korea,Jan-07,KR Electronic Financial Transactions Act and Enforcement Decree,
01_56a,Single Jurisdiction,Korea,Korean FSC/FSS,Jan-07,KR Reg. on Supervision of Electronic Financial Transactions,
03_39a,Single Jurisdiction,US,US FFIEC,Jul-04,US FFIEC IT Examination Handbook: Operations Booklet ,
03_40a,Single Jurisdiction,US,US FFIEC,Jun-04,US FFIEC IT Examination Handbook: Outsourcing Booklet ,
06_54a,Single-Jurisdiction,CMU/SEI,CMU/SEI,Dec-03,CMU/SEI Organizational Models for Computer Security Incident Response Teams (CSIRTs),
06_55a,Single-Jurisdiction,CMU/SEI,CMU/SEI,Apr-03,CMU/SEI Handbook for Computer Security Incident Response Teams (CSIRTs) ,
